Bedeutung,Infinitiv,ich,du,er/sie/es,wir,ihr,sie/Sie,Lektion
Despertar-se,AUFWACHEN,wache auf,wachst auf,wacht auf,wachen auf,wacht auf,wachen auf,6
Portar,(mit)BRINGEN,bringe,bringst,bringt,bringen,bringt,bringen,4
Venir,(mit)KOMMEN,komme,kommst,kommt,kommen,kommt,kommen,1
Començar,ANFAGEN,fage an,fägst an,fägt an,fangen an,fangt an,fangen an,4
Trucar,ANRUFEN,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,5
Respondre,ANTWORTEN,antworte,antwortest,antwortet,antworten,antwortet,antworten,2
Atraure,ANZIEHEN,ziehe an,ziehst an,zieht an,ziehen an,zieht an,ziehen an,4
Treballar,ARBEITEN,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,1
Parar,AUFHÖREN,höre auf,hörst auf,hört auf,hören auf,hört auf,hören auf,4
Obrir,AUFMACHEN,mache auf,machst auf,macht auf,machen auf,macht auf,machen auf,4
Rentar,AUFRÄUMEN,räume auf,räumst auf,räumt auf,räumen auf,räumt auf,räumen auf,4
Llevar-se,AUFSTEHEN,stehe auf,steht auf,steht auf,stehen auf,steht auf,stehen auf,4
Semblar,AUSSEHEN,sehe aus,siehst aus,sieht aus,sehen aus,seht aus,sehen aus,5
Coure,BACKEN,backe,backst,backt,backen,backt,backen,3
Banyar-se,BADEN,bade,badest,badet,baden,badet,baden,5
Servir,BEDIENEN,bediene,bedienst,bedient,bedienen,bedient,bedienen,4
Signficar,BEDEUTEN,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten,6
Rebre,BEKOMMEN,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen,2
Descriure,BESCHREIBEN,beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben,4
Order,BESTELLEN,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen,3
Necessitar,BESUCHEN,besuche,besuchst,besucht,besuchen,besucht,besuchen,3
Pagar,BEZAHLEN,bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen,3
Oferir,BIETEN,biete,bietest,bietet,bieten,bietet,bieten,2
Quedar-se,BLEIBEN,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,6
Necessitar,BRAUCHEN,brauche,brauchst,braucht,brauchen,braucht,brauchen,3
Reservar,BUCHEN,buche,buchst,bucht,buchen,bucht,buchen,5
Deletrejar,BUCHSTABIEREN,buchstabiere,buchstabierst,buchstabiert,buchstabieren,buchstabiert,buchstabieren,1
Durar,DAUERN,dauer,dauerst,dauert,dauern,dauert,dauern,6
Discutir,DISKUTIEREN,diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren,5
Dutxar-se,DUSCHEN,dusche,duschst,duscht,duschen,duscht,duschen,4
Tenir permís,DÜRFEN,darf,darfst,darft,dürfen,dürft,dürfen,4
Anar de compres,EINKAUFEN,kaufe ein,kaufst ein,kauft ein,kaufen ein,kauft ein,kaufen ein,4
Convidar,EINLADEN,lade ein,lädst ein,lädt ein,laden ein,ladt ein,laden ein,4
Mudar-se a,EINZIEHEN,ziehe ein,ziehst ein,zieht ein,ziehen ein,zieht ein,ziehen ein,5
Decidir,ENTSCHEIDEN,entscheide,entscheidest,entscheidet,entscheiden,entscheidet,entscheiden,2
Disculpar-se,ENTSCHULDIGEN,entschuldige,entschuldigst,entschuldigt,entschuldigen,entschuldigt,entschuldigen,2
Reconèixer,ERKENNEN,erkenne,erkennst,erkennt,erkennen,erkennt,erkennen,3
Dir,ERZÄHLEN,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen,3
Menjar,ESSEN,esse,isst,isst,essen,esst,essen,3
Conduir,FAHREN,fahre,fährst,fährt,fahren,fahrt,fahren,2
Celebrar,FEIERN,feiere,feierst,feiert,feiern,feiert,feiern,4
